"","count","bps_value","scl_value","bps_name","model_code","ref_label","model_label","ref_percent","current_percent","total_count"
"38",17,2032,2,"Eastern Great Plains Floodplain Systems","14690_38_42_49","B","14690_38_42_49_B",29,14,120
"39",NA,NA,NA,"Eastern Great Plains Floodplain Systems","14690_38_42_49","C","14690_38_42_49_C",42,0,0
"40",NA,NA,NA,"Eastern Great Plains Floodplain Systems","14690_38_42_49","D","14690_38_42_49_D",15,0,0
"41",8,2032,180,"Eastern Great Plains Floodplain Systems","14690_38_42_49","Agriculture","14690_38_42_49_Agriculture",0,6,120
"42",32,2032,120,"Eastern Great Plains Floodplain Systems","14690_38_42_49","Developed","14690_38_42_49_Developed",0,26,120
"43",NA,NA,NA,"Eastern Great Plains Floodplain Systems","14690_38_42_49","Water","14690_38_42_49_Water",0,0,0
"44",33,2032,6,"Eastern Great Plains Floodplain Systems","14690_38_42_49","UN","14690_38_42_49_UN",0,27,120
"45",30,2032,7,"Eastern Great Plains Floodplain Systems","14690_38_42_49","UE","14690_38_42_49_UE",0,25,120
"46",NA,NA,NA,"Central Interior and Appalachian Floodplain Systems","14710_49_52","A","14710_49_52_A",15,0,0
"47",NA,NA,NA,"Central Interior and Appalachian Floodplain Systems","14710_49_52","B","14710_49_52_B",23,0,0
"48",2,2033,3,"Central Interior and Appalachian Floodplain Systems","14710_49_52","C","14710_49_52_C",45,6,30
"49",NA,NA,NA,"Central Interior and Appalachian Floodplain Systems","14710_49_52","D","14710_49_52_D",17,0,0
"50",NA,NA,NA,"Central Interior and Appalachian Floodplain Systems","14710_49_52","Agriculture","14710_49_52_Agriculture",0,0,0
"51",24,2033,120,"Central Interior and Appalachian Floodplain Systems","14710_49_52","Developed","14710_49_52_Developed",0,80,30
"52",NA,NA,NA,"Central Interior and Appalachian Floodplain Systems","14710_49_52","Water","14710_49_52_Water",0,0,0
"53",2,2033,6,"Central Interior and Appalachian Floodplain Systems","14710_49_52","UN","14710_49_52_UN",0,6,30
"54",2,2033,7,"Central Interior and Appalachian Floodplain Systems","14710_49_52","UE","14710_49_52_UE",0,6,30
"55",NA,NA,NA,"North-Central Interior Wet Flatwoods","15180_43_47_49_52_62_63_64_65","A","15180_43_47_49_52_62_63_64_65_A",11,0,0
"56",2,2036,2,"North-Central Interior Wet Flatwoods","15180_43_47_49_52_62_63_64_65","B","15180_43_47_49_52_62_63_64_65_B",16,100,2
"57",NA,NA,NA,"North-Central Interior Wet Flatwoods","15180_43_47_49_52_62_63_64_65","C","15180_43_47_49_52_62_63_64_65_C",73,0,0
"58",NA,NA,NA,"North-Central Interior Wet Flatwoods","15180_43_47_49_52_62_63_64_65","Agriculture","15180_43_47_49_52_62_63_64_65_Agriculture",0,0,0
"59",NA,NA,NA,"North-Central Interior Wet Flatwoods","15180_43_47_49_52_62_63_64_65","Developed","15180_43_47_49_52_62_63_64_65_Developed",0,0,0
"60",NA,NA,NA,"North-Central Interior Wet Flatwoods","15180_43_47_49_52_62_63_64_65","Water","15180_43_47_49_52_62_63_64_65_Water",0,0,0
"61",NA,NA,NA,"North-Central Interior Wet Flatwoods","15180_43_47_49_52_62_63_64_65","UN","15180_43_47_49_52_62_63_64_65_UN",0,0,0
"62",NA,NA,NA,"North-Central Interior Wet Flatwoods","15180_43_47_49_52_62_63_64_65","UE","15180_43_47_49_52_62_63_64_65_UE",0,0,0
